servo angle,lidar data
0,64
1,66
2,233
3,234
4,227
5,224
6,130
7,129
8,127
9,126
10,209
11,211
12,213
13,214
14,205
15,203
16,213
17,226
18,234
19,239
20,239
21,234
22,228
23,122
24,112
25,104
26,95
27,87
28,82
29,79
30,78
31,77
32,76
33,74
34,73
35,73
36,72
37,72
38,72
39,72
40,73
41,73
42,74
43,74
44,75
45,76
46,76
47,77
48,77
49,78
50,79
51,80
52,81
53,81
54,82
55,83
56,84
57,85
58,85
59,86
60,87
61,89
62,92
63,97
64,195
65,198
66,201
67,203
68,205
69,206
70,207
71,207
72,206
73,202
74,199
75,197
76,197
77,197
78,198
79,198
80,196
81,187
82,174
83,162
84,158
85,153
86,149
87,148
88,151
89,220
90,212
91,206
92,202
93,200
94,199
95,197
96,196
97,195
98,195
99,195
100,194
101,194
102,192
103,191
104,189
105,188
106,187
107,187
108,186
109,186
110,186
111,186
112,185
113,186
114,184
115,184
116,183
117,182
118,181
119,180
120,179
121,180
122,179
123,178
124,177
125,177
126,177
127,176
128,176
129,176
130,175
131,174
132,174
133,174
134,172
135,172
136,172
137,171
138,171
139,171
140,170
141,169
142,169
143,168
144,168
145,168
146,168
147,167
148,167
149,166
150,165
151,164
152,164
153,164
154,164
155,163
156,162
157,160
158,157
159,151
160,146
161,142
162,137
163,133
164,130
165,127
166,125
167,123
168,121
169,119
170,118
171,116
172,115
173,114
174,113
175,114
176,115
177,115
178,116
179,116
180,115
181,112
182,108
183,105
184,102
185,99
186,97
187,95
188,93
189,92
190,90
191,89
192,87
193,86
194,85
195,84
196,83
197,83
198,82
199,82
200,81
